locality,property_type,subtype,price_eur,type_of_sale,num_rooms,living_area_m2,fully_equipped_kitchen,furnished,terrace,terrace_area_m2,garden,garden_area_m2,land_surface_m2,num_facades,swimming_pool,state_of_building
1090 Jette,Apartment,Apartment,275000,for sale,3.0,95.0,1.0,0.0,1.0,None,None,None,None,4.0,0.0,To renovate
1380 Lasne,House,Villa,1650000,for sale,5.0,350.0,1.0,None,1.0,100.0,1.0,1800.0,2352.0,4.0,None,Excellent
1420 Braine-l'Alleud,House,Residence,638500,for sale,5.0,218.0,None,None,1.0,7.0,1.0,None,540.0,4.0,None,None
5660 Couvin,Apartment,Apartment,175000,for sale,5.0,280.0,1.0,0.0,0.0,None,0.0,None,None,None,0.0,Normal
5650 Walcourt,House,Residence,185000,for sale,3.0,140.0,None,0.0,0.0,None,1.0,None,1405.0,4.0,None,To be renovated
3140 Keerbergen,House,Residence,1850000,for sale,7.0,868.0,None,None,1.0,None,1.0,None,3838.0,4.0,1.0,Excellent
1300 Wavre,Apartment,Apartment,215000,for sale,2.0,60.0,None,0.0,1.0,23.0,0.0,None,None,None,None,Normal
9971 Lembeke,House,Residence,239000,for sale,2.0,103.0,None,None,1.0,None,1.0,None,520.0,3.0,None,To be renovated
1060 Sint-Gillis,Apartment,Apartment,225000,for sale,3.0,113.0,None,0.0,1.0,3.0,0.0,None,None,2.0,None,To be renovated
4140 Sprimont,House,Residence,323600,for sale,3.0,160.0,None,0.0,None,None,1.0,None,257.0,3.0,None,New
5150 Floreffe,House,Residence,415407,for sale,4.0,147.0,None,None,None,None,1.0,None,1688.0,4.0,None,New
7900 Leuze-en-Hainaut,House,Mixed Building,600000,for sale,7.0,None,1.0,None,None,None,None,None,259.0,2.0,None,Normal
3440 Zoutleeuw,House,Residence,549000,for sale,4.0,417.0,None,None,0.0,None,1.0,None,2240.0,None,None,None
1640 Sint-Genesius-Rode,House,Residence,500000,for sale,3.0,160.0,None,0.0,0.0,None,1.0,749.0,1120.0,None,None,None
1080 Sint-Jans-Molenbeek,House,Mixed Building,475000,for sale,6.0,204.0,1.0,0.0,1.0,25.0,0.0,None,95.0,2.0,0.0,To be renovated
1450 Chastre,House,Residence,550000,for sale,4.0,205.0,1.0,0.0,1.0,40.0,1.0,None,1642.0,4.0,None,Normal
1731 Relegem,House,Residence,375000,for sale,4.0,251.0,None,None,1.0,50.0,0.0,None,119.0,2.0,None,Normal
3700 Berg,House,Residence,219000,for sale,3.0,139.0,None,None,1.0,None,1.0,None,165.0,None,None,None
9290 Berlare,House,Residence,472502,for sale,4.0,183.0,None,None,None,None,None,None,541.0,3.0,None,New
7782 Ploegsteert,House,Residence,169000,for sale,3.0,132.0,None,0.0,1.0,None,1.0,None,298.0,3.0,None,None
9450 Denderhoutem,House,Residence,329000,for sale,5.0,221.0,None,0.0,1.0,None,1.0,900.0,1180.0,4.0,None,None
6032 Mont-sur-Marchienne,House,Residence,227000,for sale,4.0,143.0,1.0,None,1.0,None,1.0,410.0,514.0,3.0,0.0,Normal
4680 Hermée,House,Residence,275000,for sale,3.0,135.0,None,None,1.0,41.0,1.0,253.0,417.0,3.0,None,Normal
